time_h,renewable_power_kw,baseline_electrolyzer_power_kw,optimized_electrolyzer_power_kw,hydrogen_demand_kg_h
11.733333333333333,99.58624169438556,99.58624169438556,99.58624169438556,0.875
11.75,99.63628976948043,99.63628976948043,99.63628976948043,0.875
11.766666666666666,99.68312276947748,99.68312276947748,99.68312276947748,0.875
11.783333333333333,99.72673792957002,99.72673792957002,99.72673792957002,0.875
11.8,99.76713267501137,99.76713267501137,99.76713267501137,0.875
11.816666666666666,99.80430462124681,99.80430462124681,99.80430462124681,0.875
11.833333333333334,99.83825157403585,99.83825157403585,99.83825157403585,0.875
11.85,99.86897152956469,99.86897152956469,99.86897152956469,0.875
11.866666666666667,99.89646267454899,99.89646267454899,99.89646267454899,0.875
11.883333333333333,99.92072338632669,99.92072338632669,99.92072338632669,0.875
11.9,99.94175223294144,99.94175223294144,99.94175223294144,0.875
11.916666666666666,99.95954797321583,99.95954797321583,99.95954797321583,0.875
11.933333333333334,99.97410955681508,99.97410955681508,99.97410955681508,0.875
11.95,99.98543612430092,99.98543612430092,99.98543612430092,0.875
11.966666666666667,99.99352700717571,99.99352700717571,99.99352700717571,0.875
11.983333333333333,99.99838172791657,99.99838172791657,99.99838172791657,0.875
12.0,100.0,100.0,100.0,0.875
12.016666666666666,99.99838172791657,99.99838172791657,99.99838172791657,0.875
12.033333333333333,99.99352700717571,99.99352700717571,99.99352700717571,0.875
12.05,99.98543612430092,99.98543612430092,99.98543612430092,0.875
12.066666666666666,99.97410955681508,99.97410955681508,99.97410955681508,0.875
12.083333333333334,99.95954797321583,99.95954797321583,99.95954797321583,0.875
12.1,99.94175223294144,99.94175223294144,99.94175223294144,0.875
12.116666666666667,99.92072338632669,99.92072338632669,99.92072338632669,0.875
12.133333333333333,99.89646267454899,99.89646267454899,99.89646267454899,0.875
12.15,99.86897152956469,99.86897152956469,99.86897152956469,0.875
12.166666666666666,99.83825157403585,99.83825157403585,99.83825157403585,0.875
12.183333333333334,99.80430462124681,99.80430462124681,99.80430462124681,0.875
12.2,99.76713267501137,99.76713267501137,99.76713267501137,0.875
12.216666666666667,99.72673792957002,99.72673792957002,99.72673792957002,0.875
12.233333333333333,99.68312276947749,99.68312276947749,99.68312276947749,0.875
12.25,99.63628976948043,99.63628976948043,99.63628976948043,0.875
12.266666666666666,99.58624169438558,99.58624169438558,99.58624169438558,0.875
12.283333333333333,99.53298149891793,99.53298149891793,99.53298149891793,0.875
12.3,99.4765123275694,99.4765123275694,99.4765123275694,0.875
12.316666666666666,99.41683751443765,99.41683751443765,99.41683751443765,0.875
12.333333333333334,99.35396058305528,99.35396058305528,99.35396058305528,0.875
12.35,99.28788524620931,99.28788524620931,99.28788524620931,0.875
12.366666666666667,99.21861540575095,99.21861540575095,99.21861540575095,0.875
12.383333333333333,99.14615515239575,99.14615515239575,99.14615515239575,0.875
12.4,99.07050876551415,99.07050876551415,99.07050876551415,0.875
12.416666666666666,98.9916807129122,98.9916807129122,98.9916807129122,0.875
12.433333333333334,98.90967565060299,98.90967565060299,98.90967565060299,0.875
12.45,98.82449842256814,98.82449842256814,98.82449842256814,0.875
12.466666666666667,98.73615406050985,98.73615406050985,98.73615406050985,0.875
12.483333333333333,98.6446477835934,98.6446477835934,98.6446477835934,0.875
12.5,98.54998499818012,98.54998499818012,98.54998499818012,0.875
12.516666666666666,98.45217129755063,98.45217129755063,98.45217129755063,0.875
12.533333333333333,98.35121246161887,98.35121246161887,98.35121246161887,0.875
12.55,98.24711445663637,98.24711445663637,98.24711445663637,0.875
12.566666666666666,98.13988343488714,98.13988343488714,98.13988343488714,0.875
12.583333333333334,98.02952573437311,98.02952573437311,98.02952573437311,0.875
12.6,97.91604787849025,97.91604787849025,97.91604787849025,0.875
12.616666666666667,97.79945657569486,97.79945657569486,97.79945657569486,0.875
12.633333333333333,97.67975871916116,97.67975871916116,97.67975871916116,0.875
12.65,97.55696138642878,97.55696138642878,97.55696138642878,0.875
12.666666666666666,97.43107183904148,97.43107183904148,97.43107183904148,0.875
12.683333333333334,97.30209752217618,97.30209752217618,97.30209752217618,0.875
12.7,97.17004606426295,97.17004606426295,97.17004606426295,0.875
12.716666666666667,97.03492527659554,97.03492527659554,97.03492527659554,0.875
12.733333333333333,96.89674315293288,96.89674315293288,96.89674315293288,0.875
12.75,96.75550786909103,96.75550786909103,96.75550786909103,0.875
12.766666666666666,96.6112277825265,96.6112277825265,96.6112277825265,0.875
12.783333333333333,96.46391143190971,96.46391143190971,96.46391143190971,0.875
12.8,96.31356753669004,96.31356753669004,96.31356753669004,0.875
12.816666666666666,96.16020499665129,96.16020499665129,96.16020499665129,0.875
12.833333333333334,96.00383289145815,96.00383289145815,96.00383289145815,0.875
